Marca temporal;¿Cuál es su edad?;situación laboral;nivel de estudios;ingresos personales brutos anuales;Cuál su situación;ciudad o poblado;CCAA;dispuesto a contratar;capaz de realizar las tareas domésticas;veces ha buscado ayuda;entorno cercano;remunerado;
6/22/2022 21:10:34;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;2;Sí;Sí;
6/22/2022 21:10:41;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucia;No;Sí;0;Sí;Sí;
6/22/2022 21:11:26;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;No;0;Sí;No;
6/22/2022 21:11:49;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:14:38;46-55;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;No;Sí;
6/22/2022 21:18:11;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/22/2022 21:22:42;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive solo/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 21:22:54;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:23:13;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Comparte alojamiento;Poblado;Andalucía;No;Sí;2;Sí;No;
6/22/2022 21:26:36;26-35;Empleado/a;Máster;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;1;Sí;No;
6/22/2022 21:29:02;+65;Jubilado/a;Doctorado;+100.000€;Vive solo/a;Poblado;Andalucía;No;Sí;0;Sí;No;
6/22/2022 21:31:20;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:31:22;18-25;Desempleado/a de corta duración;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;No;Sí;
6/22/2022 21:32:47;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;Sí;Sí;0;Sí;No;
6/22/2022 21:33:41;26-35;Empleado/a;Máster;10.000€-20.000€;Comparte alojamiento;Ciudad;Aragón ;No;Sí;1;Sí;Sí;
6/22/2022 21:37:36;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/22/2022 21:38:13;18-25;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/22/2022 21:48:10;26-35;Empleado/a;Máster;40.000€-50.000€;Vive solo/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:48:20;26-35;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;Sí;Sí;
6/22/2022 21:51:25;26-35;Desempleado/a de corta duración;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 21:53:49;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Poblado;Castilla y León ;No;Sí;2;No;No;
6/22/2022 21:59:20;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;No;0;No;Sí;
